,product_id,purchase_id,year_week
132,1005,20001,2019_01
167,1076,20002,2019_01
182,1005,20003,2019_01
202,1030,20004,2019_01
204,1084,20005,2019_01
240,1044,20006,2019_01
341,1057,20007,2019_01
436,1057,20008,2019_01
457,1297,20009,2019_01
505,1287,20010,2019_01
534,1287,20011,2019_01
557,1007,20012,2019_01
576,1030,20013,2019_01
629,1030,20014,2019_01
681,1075,20015,2019_01
708,1030,20016,2019_01
760,1077,20017,2019_01
905,1057,20018,2019_01
915,1030,20019,2019_01
932,1005,20020,2019_01
983,1057,20021,2019_01
1001,1167,20022,2019_01
1085,1077,20023,2019_01
1178,1296,20024,2019_01
1376,1030,20025,2019_01
1506,1076,20026,2019_01
1529,1076,20027,2019_01
1645,1030,20028,2019_01
1679,1007,20029,2019_01
1697,1030,20030,2019_01
1731,1005,20031,2019_01
1821,1076,20032,2019_01
1841,1005,20033,2019_01
1872,1287,20034,2019_01
1949,1030,20035,2019_01
1978,1076,20036,2019_01
2010,1041,20037,2019_01
2083,1007,20038,2019_31
2085,1081,20039,2019_31
2125,1007,20040,2019_31
2147,1036,20041,2019_31
2149,1034,20042,2019_31
2260,1051,20043,2019_31
2291,1007,20044,2019_31
2297,1084,20045,2019_31
2303,1043,20046,2019_31
2310,1080,20047,2019_31
2360,1295,20048,2019_31
2410,1036,20049,2019_31
2505,1018,20050,2019_31
2605,1051,20051,2019_31
2612,1043,20052,2019_31
2656,1036,20053,2019_31
2705,1007,20054,2019_31
2751,1007,20055,2019_31
2758,1002,20056,2019_31
2774,1080,20057,2019_31
2847,1051,20058,2019_31
2872,1036,20059,2019_31
2905,1007,20060,2019_31
2968,1051,20061,2019_31
2979,1036,20062,2019_31
3020,1080,20063,2019_31
3042,1007,20064,2019_31
3076,1006,20065,2019_31
3084,1002,20066,2019_31
3094,1036,20067,2019_31
3112,1036,20068,2019_31
3366,1291,20069,2019_31
3370,1039,20070,2019_31
3380,1080,20071,2019_31
3388,1037,20072,2019_31
3399,1084,20073,2019_31
3415,1007,20074,2019_31
3498,1080,20075,2019_31
3565,1054,20076,2019_31
3579,1046,20077,2019_31
3600,1043,20078,2019_31
3628,1007,20079,2019_31
3639,1036,20080,2019_31
3648,1080,20081,2019_31
3657,1036,20082,2019_31
3674,1080,20083,2019_31
3702,1007,20084,2019_31
3710,1080,20085,2019_31
3716,1040,20086,2019_31
3721,1017,20087,2019_31
3832,1012,20088,2019_31
3860,1051,20089,2019_31
3879,1036,20090,2019_31
4021,1043,20091,2019_31
4141,1051,20092,2019_31
4149,1081,20093,2019_31
4221,1007,20094,2019_32
4281,1080,20095,2019_31
4341,1080,20096,2019_31
4382,1037,20097,2019_31
4405,1007,20098,2019_31
4452,1007,20099,2019_31
4458,1080,20100,2019_31
4464,1080,20101,2019_31
4576,1036,20102,2019_31
4597,1007,20103,2019_31
4677,1054,20104,2019_31
4909,1051,20105,2019_31
4940,1080,20106,2019_31
5039,1007,20107,2019_31
5068,1007,20108,2019_31
5079,1080,20109,2019_31
5167,1285,20110,2019_31
5234,1002,20111,2019_31
5273,1080,20112,2019_31
5298,1026,20113,2019_31
5305,1043,20114,2019_31
5337,1080,20115,2019_31
5435,1051,20116,2019_31
5442,1037,20117,2019_31
5567,1285,20118,2019_31
5591,1007,20119,2019_31
5690,1007,20120,2019_31
5703,1036,20121,2019_31
5804,1036,20122,2019_31
5837,1007,20123,2019_31
5844,1084,20124,2019_32
5935,1054,20125,2019_32
5995,1284,20126,2019_32
6021,1068,20127,2019_32
6029,1084,20128,2019_32
6168,1054,20129,2019_32
6259,1037,20130,2019_32
6270,1002,20131,2019_32
6295,1037,20132,2019_32
6311,1037,20133,2019_32
6344,1084,20134,2019_32
6346,1081,20135,2019_32
6392,1284,20136,2019_32
6468,1054,20137,2019_32
6542,1054,20138,2019_32
6561,1037,20139,2019_32
6569,1003,20140,2019_32
6597,1288,20141,2019_32
6603,1002,20142,2019_32
6633,1128,20143,2019_32
6663,1084,20144,2019_32
6669,1084,20145,2019_32
6674,1081,20146,2019_32
6686,1005,20147,2019_32
6868,1010,20148,2019_32
6896,1084,20149,2019_32
6904,1002,20150,2019_32
6915,1084,20151,2019_32
6994,1054,20152,2019_32
7013,1091,20153,2019_32
7048,1002,20154,2019_32
7064,1033,20155,2019_32
7082,1002,20156,2019_32
7114,1006,20157,2019_32
7155,1080,20158,2019_32
7208,1010,20159,2019_32
7272,1054,20160,2019_32
7285,1064,20161,2019_32
7349,1037,20162,2019_32
7372,1037,20163,2019_32
7381,1002,20164,2019_32
7388,1084,20165,2019_32
7394,1017,20166,2019_32
7438,1084,20167,2019_32
7522,1084,20168,2019_32
7547,1109,20169,2019_32
7555,1084,20170,2019_32
7566,1084,20171,2019_32
7596,1046,20172,2019_32
7608,1037,20173,2019_32
7627,1002,20174,2019_32
7636,1084,20175,2019_32
7756,1006,20176,2019_32
7791,1123,20177,2019_33
7870,1054,20178,2019_32
7899,1037,20179,2019_32
7909,1084,20180,2019_32
7927,1002,20181,2019_32
7992,1003,20182,2019_32
8014,1084,20183,2019_32
8212,1284,20184,2019_32
8255,1037,20185,2019_32
8395,1054,20186,2019_32
8423,1002,20187,2019_32
8440,1010,20188,2019_32
8443,1002,20189,2019_32
8493,1037,20190,2019_32
8622,1054,20191,2019_32
8653,1002,20192,2019_32
8724,1054,20193,2019_32
8754,1103,20194,2019_32
8764,1003,20195,2019_32
8781,1037,20196,2019_32
8796,1002,20197,2019_32
8880,1054,20198,2019_32
8888,1002,20199,2019_32
8925,1294,20200,2019_32
8941,1037,20201,2019_32
8971,1002,20202,2019_32
9070,1054,20203,2019_32
9103,1146,20204,2019_32
9272,1054,20205,2019_32
9400,1051,20206,2019_32
9417,1037,20207,2019_32
9436,1037,20208,2019_32
9447,1084,20209,2019_32
9453,1033,20210,2019_32
9459,1064,20211,2019_32
9542,1054,20212,2019_32
9574,1006,20213,2019_32
9676,1054,20214,2019_32
9709,1006,20215,2019_32
9713,1309,20216,2019_32
9775,1084,20217,2019_32
9800,1006,20218,2019_32
9812,1003,20219,2019_32
9874,1051,20220,2019_32
9912,1005,20221,2019_32
9993,1054,20222,2019_32
10128,1054,20223,2019_32
10147,1284,20224,2019_32
10175,1084,20225,2019_32
10188,1284,20226,2019_32
10198,1084,20227,2019_32
10311,1037,20228,2019_32
10320,1084,20229,2019_32
10330,1037,20230,2019_32
10481,1054,20231,2019_32
10501,1051,20232,2019_32
10516,1032,20233,2019_32
10745,1288,20234,2019_32
10757,1013,20235,2019_32
10775,1084,20236,2019_32
10786,1020,20237,2019_32
10794,1002,20238,2019_32
10799,1046,20239,2019_32
10807,1002,20240,2019_32
10816,1002,20241,2019_32
10832,1037,20242,2019_32
10843,1002,20243,2019_32
10845,1046,20244,2019_32
10879,1006,20245,2019_32
10912,1006,20246,2019_32
10922,1002,20247,2019_32
10932,1084,20248,2019_32
10943,1002,20249,2019_32
11036,1054,20250,2019_32
11164,1037,20251,2019_32
11176,1002,20252,2019_32
11198,1006,20253,2019_32
11284,1039,20254,2019_32
11361,1006,20255,2019_32
11380,1295,20256,2019_32
11397,1037,20257,2019_32
11428,1284,20258,2019_32
11456,1006,20259,2019_32
11565,1147,20260,2019_32
11605,1288,20261,2019_32
11701,1031,20262,2019_32
11735,1002,20263,2019_32
11770,1044,20264,2019_32
11775,1002,20265,2019_32
11784,1125,20266,2019_32
11848,1078,20267,2019_32
11897,1054,20268,2019_32
11913,1037,20269,2019_32
11981,1010,20270,2019_33
12008,1010,20271,2019_33
12016,1003,20272,2019_33
12193,1036,20273,2019_33
12210,1032,20274,2019_33
12241,1032,20275,2019_33
12362,1010,20276,2019_33
12372,1017,20277,2019_33
12391,1010,20278,2019_33
12421,1034,20279,2019_33
12452,1010,20280,2019_33
12459,1306,20281,2019_33
12533,1010,20282,2019_33
12554,1010,20283,2019_33
12589,1003,20284,2019_33
12664,1010,20285,2019_33
12683,1010,20286,2019_33
12726,1049,20287,2019_33
12851,1084,20288,2019_33
12855,1047,20289,2019_33
12879,1298,20290,2019_33
12989,1304,20291,2019_33
13053,1032,20292,2019_33
13064,1084,20293,2019_33
13068,1034,20294,2019_33
13150,1084,20295,2019_33
13166,1020,20296,2019_33
13196,1288,20297,2019_33
13227,1051,20298,2019_33
13276,1286,20299,2019_33
13369,1050,20300,2019_33
13456,1003,20301,2019_33
13531,1003,20302,2019_33
13637,1046,20303,2019_33
13646,1003,20304,2019_33
13651,1004,20305,2019_33
13675,1286,20306,2019_33
13677,1003,20307,2019_33
13681,1042,20308,2019_33
13736,1051,20309,2019_33
13792,1003,20310,2019_33
13804,1013,20311,2019_33
13812,1003,20312,2019_33
13829,1084,20313,2019_33
13837,1144,20314,2019_33
13970,1051,20315,2019_33
14126,1003,20316,2019_33
14228,1051,20317,2019_33
14404,1051,20318,2019_33
14646,1084,20319,2019_33
14653,1084,20320,2019_33
14713,1032,20321,2019_33
14812,1051,20322,2019_33
14848,1010,20323,2019_33
14860,1003,20324,2019_33
14896,1084,20325,2019_33
14961,1010,20326,2019_33
